"","id","title","author_id","description","content","date"
"11","11","Synthesizing Knowledge-enhanced Features for Real-world Zero-shot Food Detection","Pengfei Zhou, Weiqing Min, Jiajun Song, Yang Zhang, Shuqiang Jiang","Computer Vision and Pattern Recognition (cs.CV)","Food computing brings various perspectives to computer vision like vision-based food analysis for nutrition and health. As a fundamental task in food computing, food detection needs Zero-Shot Detection (ZSD) on novel unseen food objects to support real-world scenarios, such as intelligent kitchens and smart restaurants. Therefore, we first benchmark the task of Zero-Shot Food Detection (ZSFD) by introducing FOWA dataset with rich attribute annotations. Unlike ZSD, fine-grained problems in ZSFD like inter-class similarity make synthesized features inseparable. The complexity of food semantic attributes further makes it more difficult for current ZSD methods to distinguish various food categories. To address these problems, we propose a novel framework ZSFDet to tackle fine-grained problems by exploiting the interaction between complex attributes. Specifically, we model the correlation between food categories and attributes in ZSFDet by multi-source graphs to provide prior knowledge for distinguishing fine-grained features. Within ZSFDet, Knowledge-Enhanced Feature Synthesizer (KEFS) learns knowledge representation from multiple sources (e.g., ingredients correlation from knowledge graph) via the multi-source graph fusion. Conditioned on the fusion of semantic knowledge representation, the region feature diffusion model in KEFS can generate fine-grained features for training the effective zero-shot detector. Extensive evaluations demonstrate the superior performance of our method ZSFDet on FOWA and the widely-used food dataset UECFOOD-256, with significant improvements by 1.8% and 3.7% ZSD mAP compared with the strong baseline RRFS. Further experiments on PASCAL VOC and MS COCO prove that enhancement of the semantic knowledge can also improve the performance on general ZSD. Code and dataset are available at this https URL.","Wed, 14 Feb 2024 15:32:35 UTC (27,522 KB)"
"12","12","Optimizing the Design of an Artificial Pancreas to Improve Diabetes Management","Ashok Khanna, Olivier Francon, Risto Miikkulainen","Quantitative Methods (q-bio.QM)","Diabetes, a chronic condition that impairs how the body turns food into energy, i.e. blood glucose, affects 38 million people in the US alone. The standard treatment is to supplement carbohydrate intake with an artificial pancreas, i.e. a continuous insulin pump (basal shots), as well as occasional insulin injections (bolus shots). The goal of the treatment is to keep blood glucose at the center of an acceptable range, as measured through a continuous glucose meter. A secondary goal is to minimize injections, which are unpleasant and difficult for some patients to implement. In this study, neuroevolution was used to discover an optimal strategy for the treatment. Based on a dataset of 30 days of treatment and measurements of a single patient, a random forest was first trained to predict future glucose levels. A neural network was then evolved to prescribe carbohydrates, basal pumping levels, and bolus injections. Evolution discovered a Pareto front that reduced deviation from the target and number of injections compared to the original data, thus improving patients' quality of life. To make the system easier to adopt, a language interface was developed with a large language model. Thus, these technologies not only improve patient care but also adoption in a broader population.","Sat, 10 Feb 2024 00:49:46 UTC (1,214 KB)"
"13","13","eHealth Intervention to Improve Health Habits in the Adolescent Population: Mixed Methods Study","Carmen Benavides, José Alberto Benítez-Andrades, Pilar Marqués-Sánchez, Natalia Arias","Human-Computer Interaction (cs.HC)","Background: Technology has provided a new way of life for adolescents. Strategies aimed at improving health behaviors through digital platforms can offer promising results. However, since peers can modify behaviors related to food and exercise, studying digital interventions based on peer influence to improve weight status of adolescents is important. Objective: To assess an eHealth app's effectiveness in adolescent population improvements in age- and sex-adjusted BMI percentiles. The study also examined social relationships of adolescents pre- and postintervention, identifying group leaders to study their profiles, eating, physical activity habits, and app usage. Methods: BMI percentiles were calculated following World Health Organization guidelines. Participants' diets and physical activity levels were assessed using the KIDMED questionnaire and PAQ-A. Social network variables were analyzed using SNA methodology, with reciprocal friendships used to compute the ""degree"" measure for centrality. Results: The sample included 210 individuals in the intervention group and 91 in the control group, with a 60.1% participation rate. Adolescents in the intervention group modified their BMI toward the 50th percentile, improving diet and increasing social network postintervention. Group leaders were also leaders in physical activity and app usage.","Sat, 3 Feb 2024 15:36:55 UTC (889 KB)"
"14","14","Smart Water Irrigation for Rice Farming through the Internet of Things","Regie Porras Binayao, Paul Vincent Lagapa Mantua, Holy Rose May Pardillo Namocatcat, Jade Kachel Kli","Human-Computer Interaction (cs.HC)","This study intends to build smart water irrigation for rice farming using IoT and microcontroller devices with solar panel support. The system demonstrates the capabilities of automated irrigation by reducing physical labor through smart monitoring of the temperature, soil moisture, and humidity using multiple sensors. This study uses an agile methodology as it is suitable for reiterative operation for the development of the prototype. The mean result for the interpretation of data gathered for the systems' adaptability and flexibility is 4.32. The researchers were able to develop smart water irrigation for rice farming using IoT and microcontroller devices with solar panel support and the respondents also agreed that Smart water irrigation for rice farming using IoT and microcontroller devices with solar panel support is practical and valuable. A decision support system is recommended that can analyze data collected from IoT sensors and provide further recommendations. Based on the results, it is also suggested that future researchers use drip irrigation, instead of flood irrigation. Smart water irrigation has the potential to revolutionize agriculture, enhance environmental sustainability, and address pressing global challenges related to water resources and food security. These implications highlight the importance of continued research and innovation in this field.","Fri, 2 Feb 2024 04:37:56 UTC (589 KB)"
"15","15","Detection of Spider Mites on Labrador Beans through Machine Learning Approaches Using Custom Datasets","Violet Liu, Jason Chen, Ans Qureshi, Mahla Nejati","Computer Vision and Pattern Recognition (cs.CV)","Amidst growing food production demands, early plant disease detection is essential to safeguard crops; this study proposes a visual machine learning approach for plant disease detection, harnessing RGB and NIR data collected in real-world conditions through a JAI FS-1600D-10GE camera to build an RGBN dataset. A two-stage early plant disease detection model with YOLOv8 and a sequential CNN was used to train on a dataset with partial labels, which showed a 3.6% increase in mAP compared to a single-stage end-to-end segmentation model. The sequential CNN model achieved 90.62% validation accuracy utilising RGBN data. An average of 6.25% validation accuracy increase is found using RGBN in classification compared to RGB using ResNet15 and the sequential CNN models. Further research and dataset improvements are needed to meet food production demands.","Mon, 12 Feb 2024 18:57:06 UTC (17,721 KB)"
"16","16","Food Recommendation as Language Processing (F-RLP): A Personalized and Contextual Paradigm","Ali Rostami, Ramesh Jain, Amir M. Rahmani","Artificial Intelligence (cs.AI)","State-of-the-art rule-based and classification-based food recommendation systems face significant challenges in becoming practical and useful. This difficulty arises primarily because most machine learning models struggle with problems characterized by an almost infinite number of classes and a limited number of samples within an unbalanced dataset. Conversely, the emergence of Large Language Models (LLMs) as recommendation engines offers a promising avenue. However, a general-purpose Recommendation as Language Processing (RLP) approach lacks the critical components necessary for effective food recommendations. To address this gap, we introduce Food Recommendation as Language Processing (F-RLP), a novel framework that offers a food-specific, tailored infrastructure. F-RLP leverages the capabilities of LLMs to maximize their potential, thereby paving the way for more accurate, personalized food recommendations.","Mon, 12 Feb 2024 08:32:29 UTC (2,516 KB)[v2] Wed, 14 Feb 2024 12:11:44 UTC (2,516 KB)"
"17","17","Shadowcast: Stealthy Data Poisoning Attacks Against Vision-Language Models","Yuancheng Xu, Jiarui Yao, Manli Shu, Yanchao Sun, Zichu Wu, Ning Yu, Tom Goldstein, Furong Huang","Cryptography and Security (cs.CR)","Vision-Language Models (VLMs) excel in generating textual responses from visual inputs, yet their versatility raises significant security concerns. This study takes the first step in exposing VLMs' susceptibility to data poisoning attacks that can manipulate responses to innocuous, everyday prompts. We introduce Shadowcast, a stealthy data poisoning attack method where poison samples are visually indistinguishable from benign images with matching texts. Shadowcast demonstrates effectiveness in two attack types. The first is Label Attack, tricking VLMs into misidentifying class labels, such as confusing Donald Trump for Joe Biden. The second is Persuasion Attack, which leverages VLMs' text generation capabilities to craft narratives, such as portraying junk food as health food, through persuasive and seemingly rational descriptions. We show that Shadowcast are highly effective in achieving attacker's intentions using as few as 50 poison samples. Moreover, these poison samples remain effective across various prompts and are transferable across different VLM architectures in the black-box setting. This work reveals how poisoned VLMs can generate convincing yet deceptive misinformation and underscores the importance of data quality for responsible deployments of VLMs. Our code is available at: this https URL.","Mon, 5 Feb 2024 18:55:53 UTC (15,231 KB)"
"18","18","Development of an updated, comprehensive food composition database for Australian-grown horticultural commodities","Eleanor Dunlop, Judy Cunningham, Paul Adorno, Shari Fatupaito, Stuart K Johnson, Lucinda J Black","Other Quantitative Biology (q-bio.OT)","Australian agriculture supplies many horticultural commodities to domestic and international markets; however, food composition data for many commodities are outdated or unavailable. We produced an up-to-date, nationally representative dataset of up to 148 nutrients and related components in 92 Australian-grown fruit (fresh n=39, dried n=6), vegetables (n=43) and nuts (n=4) by replacing outdated data (pre-2000), confirming concentrations of important nutrients and retaining relevant existing data. Primary samples (n = 902) were purchased during peak growing season in Sydney, Melbourne and Perth between June 2021 and May 2022. While new data reflect current growing practices, varieties, climate and analytical methods, few notable differences were found between old and new data where methods of analysis are comparable. The new data will be incorporated into the Australian Food Composition Database, allowing free online access to stakeholders. The approach used could serve as a model for cost-effective updates of national food composition databases worldwide.","Fri, 9 Feb 2024 03:54:35 UTC (377 KB)"
"19","19","An information theoretic approach to quantify the stability of feature selection and ranking algorithms","Alaiz-Rodriguez, R., Parnell, A. C","Machine Learning (cs.LG)","Feature selection is a key step when dealing with high dimensional data. In particular, these techniques simplify the process of knowledge discovery from the data by selecting the most relevant features out of the noisy, redundant and irrelevant features. A problem that arises in many of these practical applications is that the outcome of the feature selection algorithm is not stable. Thus, small variations in the data may yield very different feature rankings. Assessing the stability of these methods becomes an important issue in the previously mentioned situations. We propose an information theoretic approach based on the Jensen Shannon divergence to quantify this robustness. Unlike other stability measures, this metric is suitable for different algorithm outcomes: full ranked lists, feature subsets as well as the lesser studied partial ranked lists. This generalized metric quantifies the difference among a whole set of lists with the same size, following a probabilistic approach and being able to give more importance to the disagreements that appear at the top of the list. Moreover, it possesses desirable properties including correction for change, upper lower bounds and conditions for a deterministic selection. We illustrate the use of this stability metric with data generated in a fully controlled way and compare it with popular metrics including the Spearmans rank correlation and the Kunchevas index on feature ranking and selection outcomes, respectively. Additionally, experimental validation of the proposed approach is carried out on a real-world problem of food quality assessment showing its potential to quantify stability from different perspectives.","Wed, 7 Feb 2024 22:17:37 UTC (3,864 KB)"
"20","20","A computational approach to visual ecology with deep reinforcement learning","Sacha Sokoloski, Jure Majnik, Philipp Berens","Neural and Evolutionary Computing (cs.NE)","Animal vision is thought to optimize various objectives from metabolic efficiency to discrimination performance, yet its ultimate objective is to facilitate the survival of the animal within its ecological niche. However, modeling animal behavior in complex environments has been challenging. To study how environments shape and constrain visual processing, we developed a deep reinforcement learning framework in which an agent moves through a 3-d environment that it perceives through a vision model, where its only goal is to survive. Within this framework we developed a foraging task where the agent must gather food that sustains it, and avoid food that harms it. We first established that the complexity of the vision model required for survival on this task scaled with the variety and visual complexity of the food in the environment. Moreover, we showed that a recurrent network architecture was necessary to fully exploit complex vision models on the most visually demanding tasks. Finally, we showed how different network architectures learned distinct representations of the environment and task, and lead the agent to exhibit distinct behavioural strategies. In summary, this paper lays the foundation for a computational approach to visual ecology, provides extensive benchmarks for future work, and demonstrates how representations and behaviour emerge from an agent's drive for survival.","Wed, 7 Feb 2024 21:23:47 UTC (2,213 KB)"
"21","21","Inference for Two-Stage Extremum Estimators","Aristide Houndetoungan, Abdoul Haki Maoude","Econometrics (econ.EM)","We present a simulation-based approach to approximate the asymptotic variance and asymptotic distribution function of two-stage estimators. We focus on extremum estimators in the second stage and consider a large class of estimators in the first stage. This class includes extremum estimators, high-dimensional estimators, and other types of estimators (e.g., Bayesian estimators). We accommodate scenarios where the asymptotic distributions of both the first- and second-stage estimators are non-normal. We also allow for the second-stage estimator to exhibit a significant bias due to the first-stage sampling error. We introduce a debiased plug-in estimator and establish its limiting distribution. Our method is readily implementable with complex models. Unlike resampling methods, we eliminate the need for multiple computations of the plug-in estimator. Monte Carlo simulations confirm the effectiveness of our approach in finite samples. We present an empirical application with peer effects on adolescent fast-food consumption habits, where we employ the proposed method to address the issue of biased instrumental variable estimates resulting from the presence of many weak instruments.","Wed, 7 Feb 2024 16:59:00 UTC (4,485 KB)"
"22","22","Adolescent relational behaviour and the obesity pandemic: A descriptive study applying social network analysis and machine learning techniques","Pilar Marqués-Sánchez, María Cristina Martínez-Fernández, José Alberto Benítez-Andrades, Enedina Qui","Social and Information Networks (cs.SI)","Aim: To study the existence of subgroups by exploring the similarities between the attributes of the nodes of the groups, in relation to diet and gender and, to analyse the connectivity between groups based on aspects of similarities between them through SNA and artificial intelligence techniques. Methods: 235 students from 5 different educational centres participate in this study between March and December 2015. Data analysis carried out is divided into two blocks: social network analysis and unsupervised machine learning techniques. As for the social network analysis, the Girvan-Newman technique was applied to find the best number of cohesive groups within each of the friendship networks of the different classes analysed. Results: After applying Girvan-Newman in the three classes, the best division into clusters was respectively 2 for classroom A, 7 for classroom B and 6 for classroom C. There are significant differences between the groups and the gender and diet variables. After applying K-means using population diet as an input variable, a K-means clustering of 2 clusters for class A, 3 clusters for class B and 3 clusters for class C is obtained. Conclusion: Adolescents form subgroups within their classrooms. Subgroup cohesion is defined by the fact that nodes share similarities in aspects that influence obesity, they share attributes related to food quality and gender. The concept of homophily, related to SNA, justifies our results. Artificial intelligence techniques together with the application of the Girvan-Newman provide robustness to the structural analysis of similarities and cohesion between subgroups.","Sun, 4 Feb 2024 09:19:56 UTC (859 KB)"
"23","23","Entire Chain Uplift Modeling with Context-Enhanced Learning for Intelligent Marketing","Yinqiu Huang, Shuli Wang, Min Gao, Xue Wei, Changhao Li, Chuan Luo, Yinhua Zhu, Xiong Xiao, Yi Luo","Information Retrieval (cs.IR)","Uplift modeling, vital in online marketing, seeks to accurately measure the impact of various strategies, such as coupons or discounts, on different users by predicting the Individual Treatment Effect (ITE). In an e-commerce setting, user behavior follows a defined sequential chain, including impression, click, and conversion. Marketing strategies exert varied uplift effects at each stage within this chain, impacting metrics like click-through and conversion rate. Despite its utility, existing research has neglected to consider the inter-task across all stages impacts within a specific treatment and has insufficiently utilized the treatment information, potentially introducing substantial bias into subsequent marketing decisions. We identify these two issues as the chain-bias problem and the treatment-unadaptive problem. This paper introduces the Entire Chain UPlift method with context-enhanced learning (ECUP), devised to tackle these issues. ECUP consists of two primary components: 1) the Entire Chain-Enhanced Network, which utilizes user behavior patterns to estimate ITE throughout the entire chain space, models the various impacts of treatments on each task, and integrates task prior information to enhance context awareness across all stages, capturing the impact of treatment on different tasks, and 2) the Treatment-Enhanced Network, which facilitates fine-grained treatment modeling through bit-level feature interactions, thereby enabling adaptive feature adjustment. Extensive experiments on public and industrial datasets validate ECUPs effectiveness. Moreover, ECUP has been deployed on the Meituan food delivery platform, serving millions of daily active users, with the related dataset released for future research.","Sun, 4 Feb 2024 03:30:25 UTC (3,149 KB)"
"24","24","Transfer Learning With Densenet201 Architecture Model For Potato Leaf Disease Classification","Rifqi Alfinnur Charisma, Faisal Dharma Adhinata","Computer Vision and Pattern Recognition (cs.CV)","Potato plants are plants that are beneficial to humans. Like other plants in general, potato plants also have diseases; if this disease is not treated immediately, there will be a significant decrease in food production. Therefore, it is necessary to detect diseases quickly and precisely so that disease control can be carried out effectively and efficiently. Classification of potato leaf disease can be done directly. Still, the symptoms cannot always explain the type of disease that attacks potato leaves because there are many types of diseases with symptoms that look the same. Humans also have deficiencies in determining the results of identification of potato leaf disease, so sometimes the results of identification between individuals can be different. Therefore, the use of Deep Learning for the classification process of potato leaf disease is expected to shorten the time and have a high classification accuracy. This study uses a deep learning method with the DenseNet201 architecture. The choice to use the DenseNet201 algorithm in this study is because the model can identify important features of potato leaves and recognize early signs of emerging diseases. This study aimed to evaluate the effectiveness of the transfer learning method with the DenseNet201 architecture in increasing the classification accuracy of potato leaf disease compared to traditional classification methods. This study uses two types of scenarios, namely, comparing the number of dropouts and comparing the three optimizers. This test produces the best model using dropout 0.1 and Adam optimizer with an accuracy of 99.5% for training, 95.2% for validation, and 96% for the confusion matrix. In this study, using data testing, as many as 40 images were tested into the model that has been built. The test results on this model resulted in a new accuracy for classifying potato leaf disease, namely 92.5%.","Thu, 25 Jan 2024 03:58:40 UTC (304 KB)"
"25","25","Multiple Neuronal Specializations Elicited By Socially Driven Recognition Of Food Odors","Viktor Plusnin, Nadezhda Khoroshavkina, Ali Abonakour, Arsenii Onuchin, Viktoriya Manyukhina, Nadezh","Neurons and Cognition (q-bio.NC)","This study investigates the dynamics of non-spatial specializations in hippocampal place cells during exposure to novel environments. Hippocampal place cells, known for their role in spatial mapping, exhibit multi-modal responses to sensory cues. The research focuses on understanding how these cells adapt their specialization in response to novel stimuli, specifically examining non-spatial determinants such as odors and social interactions. Using a social-driven food odor recognition model in mice, the study records CA1 hippocampal neuron activity through miniscope imaging. The experimental design involves demonstrations of novel odors to mice, followed by observation sessions with food options. The analysis employs deep neural network tools for behavior tracking and the custom-developed INTENS software package for identifying neural specializations. Results indicate multiple specializations, particularly those related to odor, with differences observed between training and testing sessions. The findings suggest a temporal aspect to the formation of these specializations in novel conditions, necessitating further investigation for precise tracking.","Mon, 5 Feb 2024 06:58:58 UTC (623 KB)"
